Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C14, C2, C29, C3, C32, C33, C34, C38, C40, C42, C43, C44, C45, C47, C49, C50, C52, C53, C54, C55, C56, C57, C6, C62, C70, C78, C79, C8, C82, C84, C87, C89",C_0402,35,C_0002,
"C11, C16, C30, C63, C64, C7",C_0603,6,C_0036,
"C13, C15, C18, C31, C41, C51, C69, C81, C83, C88",C_0402,10,C_0044,
"C17, C21, C22, C23",C_0402,4,C_0043,
"C19, C4, C46, C5, C9",C_0603,5,C_0003,
"C20, C37, C58, C59, C60, C61",C_0402,6,C_0001,
C24,C_0402,1,C_0013,
"C25, C68, C71, C72",C_0805,4,C_0053,
"C26, C27, C28",C_0402,3,C_0028,
"C35, C48, C65, C67, C90",C_1210,5,C_0040,
C36,C_0402,1,C_0080,
C39,C_0402,1,C_0068,
"C66, C73, C74, C77, C80",C_0402,5,C_0063,
"C75, C76",C_0402,2,C_0045,
D1,LED_0603-red,1,D_0001,
D2,D_SOD-123,1,D_0021,
F1,F_1206,1,F_0002,
G1,RESO-NANCE_SSS_LOGO,1,LOGO,
G2,RESO-NANCE_SSS-2_LOGO,1,LOGO,
J2,RJ45_Abracon_ARJP11A-MA_Horizontal,1,RJ45_Abracon_ARJP11A-MASA-B-A-EMU2,
K1,OLED256x64-2P1_HOLE_TE_3-2328724-1â€Ž,1,K_0073,
K2,Molex_PicoBlade_53261-1271_1x12-1MP_P1.25mm_Horizontal,1,K_0072,
K3,Tag-Connect_TC2030-IDC-FP_2x03_P1.27mm_Vertical,1,K_0100,
L1,L_4018-Coilcraft,1,L_0011,
"L2, L3, L7",L_0603,3,L_0010,
L4,L_5030-Coilcraft,1,L_0002,
L5,L_0603,1,L_0017,
L6,L_4018-Coilcraft,1,L_0018,
"Q1, Q2, Q3",SOT_323-SC_70,3,Q_0002,
"R1, R10, R11, R21, R22, R32, R33, R36, R39, R4, R42, R43, R46, R47, R50, R53",R_0402,16,R_0020,
"R12, R13, R14",R_0402,3,R_0001,
"R15, R34, R35, R37, R40",R_0402,5,R_0134,
R16,R_0402,1,R_0104,
R17,R_0402,1,R_0133,
"R18, R19, R26, R27, R45",R_0402,5,R_0005,
R2,R_0603,1,R_0001,
"R20, R24, R41",R_0402,3,R_0064,
R23,R_0402,1,R_0170,
R25,R_0402,1,R_0171,
"R28, R29, R30, R31",R_0402,4,R_0117,
R3,R_0402,1,R_0030,
R38,R_0402,1,R_0118,
R44,R_0402,1,R_0172,
"R48, R49",R_0402,2,R_0053,
R5,R_0402,1,R_0028,
R52,R_0402,1,NC,
R6,R_0402,1,R_0121,
R7,R_0402,1,R_0002,
R8,R_0402,1,R_0114,
R9,R_0402,1,R_0102,
"REF1, REF2, REF3",REF_1mm_Top,3,CircleWhite1mm,
"REF11, REF12, REF13",REF_1mm,3,CircleWhite1mm,
"SW1, SW2, SW3, SW4, SW5",PTS810,5,SW_0003,
U1,SOT_23-5,1,U_0076,
U10,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,U_0139,
U14,QFN-24-1EP_4x4mm_Pitch0.5mm,1,U_0101,
"U16, U17",SOT_143,2,U_0049,
U2,UFBGA_176,1,U_0131,
"U3, U9",SOT_23-5,2,U_0144,
U4,MSOP_16-1EP_3x4_P0.5,1,U_0134,
U5,DFN-8-1EP_2x2_P0.5,1,U_0081,
U6,TSSOP_14_4.4x5_P0.65,1,U_0097,
U7,SOP-8_5.28x5.23mm_P1.27mm,1,U_0138,
U8,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,1,U_0133,
"XO1, XO2",7M,2,XO_0004,
