Designator,Mid X,Mid Y,Rotation,Layer
C1,52.1,11.70144,90.0,bottom
C10,54.5,14.20144,180.0,bottom
C11,41.55,7.91644,90.0,top
C12,53.7,15.40144,180.0,bottom
C13,38.52,11.31144,0.0,top
C14,32.8,4.32504,90.0,top
C15,31.1,9.21144,180.0,bottom
C16,35.96,5.85004,0.0,top
C17,150.82,19.71144,45.0,top
C18,31.1,8.11144,180.0,bottom
C19,21.8,15.00004,-90.0,top
C2,53.6,11.00144,0.0,bottom
C20,79.12,15.00144,90.0,top
C21,154.52,19.51144,135.0,top
C22,59.1,6.30144,0.0,top
C23,62.5,9.05144,90.0,top
C24,39.0,6.11644,-90.0,top
C25,31.5,1.67504,180.0,top
C26,59.7,13.80004,180.0,bottom
C27,60.4,14.70004,180.0,bottom
C28,59.6,15.60004,180.0,bottom
C29,21.5,4.40004,-90.0,top
C3,51.5,13.10144,0.0,bottom
C30,40.15,7.91644,90.0,top
C31,18.9,10.40004,180.0,top
C32,51.5,14.20144,0.0,bottom
C33,51.6,15.30144,0.0,bottom
C34,52.9,16.40144,0.0,bottom
C35,76.0,21.60144,90.0,top
C36,54.6,7.10144,-135.0,top
C37,11.8,8.80004,-90.0,top
C38,12.62,4.50004,-90.0,top
C39,152.1,13.00144,90.0,top
C4,48.4409,3.61144,-90.0,top
C40,111.65,19.11144,0.0,bottom
C41,150.9,13.20144,-90.0,top
C42,122.75,17.01144,-90.0,bottom
C43,148.6,8.50144,180.0,top
C44,156.8,13.65144,90.0,top
C45,155.95,5.85144,0.0,top
C46,155.7,3.85144,-90.0,top
C47,169.6,12.40144,90.0,bottom
C48,9.4,10.70004,90.0,top
C49,176.4,11.20144,90.0,bottom
C5,19.6,11.60004,0.0,top
C50,69.4,7.30004,90.0,top
C51,20.6,15.20004,90.0,top
C52,7.2,11.40004,-90.0,top
C53,106.75,17.01144,-90.0,bottom
C54,161.095,6.50144,180.0,top
C55,161.195,12.80144,180.0,top
C56,111.55,11.21144,0.0,bottom
C57,111.55,3.11144,0.0,bottom
C58,15.9,14.00004,0.0,top
C59,17.63,18.97004,0.0,top
C6,53.6,12.10144,180.0,bottom
C60,45.3,20.50144,90.0,top
C61,35.25,4.02504,-90.0,top
C62,44.2,20.50144,-90.0,top
C63,12.4,10.60004,180.0,top
C64,15.5,16.60004,90.0,top
C65,12.3,15.10004,180.0,top
C66,43.1,20.50144,-90.0,top
C67,8.4,15.40004,90.0,top
C68,61.2,13.20004,45.0,top
C69,48.9,13.90004,90.0,bottom
C7,78.0,17.80144,-90.0,top
C70,44.7,22.00144,0.0,top
C71,56.6,7.10144,90.0,top
C72,50.0,6.70144,-135.0,top
C73,55.0,21.90144,135.0,top
C74,45.0,11.90144,135.0,top
C75,54.2,21.10144,135.0,top
C76,45.8,12.70144,135.0,top
C77,53.0,13.70144,-90.0,bottom
C78,46.6,16.60144,180.0,top
C79,50.0,13.90144,-90.0,bottom
C8,54.4,13.10144,180.0,bottom
C80,46.6,17.70144,180.0,top
C81,56.2,15.00004,-90.0,bottom
C82,55.2,15.94004,90.0,bottom
C83,59.5,11.90144,180.0,bottom
C84,58.6,12.90144,0.0,bottom
C87,69.8,10.40004,90.0,top
C88,70.25,16.11144,0.0,top
C89,70.25,17.20144,180.0,top
C9,28.6,2.82504,90.0,top
C90,72.9,21.60144,90.0,top
D1,28.9,2.00144,180.0,bottom
D2,44.8409,8.11644,0.0,top
F1,170.2,20.00144,180.0,bottom
G1,166.0,2.50144,0.0,bottom
G2,136.8,15.3,0.0,bottom
J2,171.7,6.80144,90.0,top
K1,34.8,12.51004,90.0,top
K2,2.75,13.75144,-90.0,top
L1,45.4409,4.51644,90.0,top
L2,155.5,13.40004,-90.0,top
L3,12.4,12.20004,180.0,top
L4,68.1,20.70144,90.0,top
L5,56.5,8.70144,-90.0,bottom
L6,53.0,3.60144,0.0,top
L7,57.5,15.20004,-90.0,bottom
Q1,13.0,18.60004,180.0,top
Q2,9.8,19.50004,-90.0,top
Q3,8.4,22.90144,180.0,top
R1,148.6,7.30144,180.0,top
R10,70.8,11.40004,90.0,top
R11,154.3,4.10004,90.0,top
R12,8.6,4.4,180.0,top
R13,8.6,5.60004,180.0,top
R14,8.6,6.8,180.0,top
R15,12.2,7.20004,0.0,top
R16,31.2,2.50144,90.0,bottom
R17,156.6,11.20004,-90.0,top
R18,111.55,21.51144,0.0,bottom
R19,125.15,17.11144,-90.0,bottom
R2,18.9,13.60004,90.0,top
R20,15.3,18.90004,-90.0,top
R21,111.55,17.91144,180.0,bottom
R22,123.95,17.11144,90.0,bottom
R23,7.5,19.50144,0.0,top
R24,11.7,20.90004,-90.0,top
R25,7.5,18.30144,0.0,top
R26,109.15,17.11144,-90.0,bottom
R27,111.45,13.61144,0.0,bottom
R28,163.195,6.46144,0.0,top
R29,163.19,1.32144,0.0,top
R3,77.9,15.50144,-90.0,top
R30,163.195,12.80144,0.0,top
R31,163.195,7.66144,0.0,top
R32,148.6,9.70144,0.0,top
R33,148.6,12.30144,0.0,top
R34,148.6,11.00144,0.0,top
R35,148.6,13.60144,180.0,top
R36,148.6,4.70144,0.0,top
R37,148.6,6.00144,180.0,top
R38,150.5,4.10144,90.0,top
R39,151.8,4.10144,90.0,top
R4,48.7,9.30144,-135.0,top
R40,153.05,4.10144,-90.0,top
R41,10.7,22.70144,-90.0,top
R42,107.95,17.11144,90.0,bottom
R43,111.45,12.41144,180.0,bottom
R44,7.5,20.70144,0.0,top
R45,111.45,5.51144,0.0,bottom
R46,111.45,4.31144,180.0,bottom
R47,154.1,12.80144,-90.0,top
R48,186.7,8.90144,90.0,bottom
R49,186.7,18.70144,-90.0,bottom
R5,31.3,10.41144,0.0,bottom
R50,69.4,12.70004,-90.0,top
R52,49.6,8.40144,45.0,top
R53,52.2,10.10144,0.0,bottom
R6,34.0,5.57644,90.0,top
R7,37.87,6.01644,-90.0,top
R8,38.85,4.16644,-90.0,top
R9,34.0,3.87644,90.0,top
REF1,182.7,2.25144,90.0,top
REF11,182.0,22.50144,180.0,bottom
REF12,182.7,2.25144,180.0,bottom
REF13,2.25,2.25144,180.0,bottom
REF2,182.0,22.50144,90.0,top
REF3,5.5,2.25144,90.0,top
SW1,116.15,20.51144,0.0,bottom
SW2,124.15,12.51144,-90.0,bottom
SW3,108.15,12.51144,-90.0,bottom
SW4,116.15,12.51144,0.0,bottom
SW5,116.15,4.51144,0.0,bottom
U1,41.3,4.41644,-90.0,top
U10,41.0,19.10004,90.0,top
U14,153.3,9.10144,-90.0,top
U16,162.775,3.90144,90.0,top
U17,162.775,10.22144,90.0,top
U2,53.0,13.90144,135.0,top
U3,15.9,11.70004,180.0,top
U4,74.4,16.80144,180.0,top
U5,30.8,4.07504,180.0,top
U6,17.07,7.00004,180.0,top
U7,66.0,10.00004,-90.0,top
U8,47.6,21.50144,90.0,top
U9,18.2,16.70004,180.0,top
XO1,152.8,17.80144,-45.0,top
XO2,59.7,8.80144,0.0,top
